patent_id,section,cpc_class,cpc_subclass
11640356,G,G06,G06F
11724791,Y,Y02,Y02T
11732643,Y,Y02,Y02T
11768007,G,G10,G10K
11798057,G,G06,G06Q
11907634,G,G06,G06F
12006890,F,F02,F02D
12005617,B,B29,B29C
12017201,Y,Y02,Y02A
12070791,F,F16,F16B
12074844,Y,Y02,Y02D
12077108,H,H02,H02G
12090393,A,A63,A63F
12111355,H,H01,H01L
12161564,A,A61,A61F
12267188,H,H04,H04L
12272867,H,H05,H05K
12273309,H,H04,H04L
12325218,B,B32,B32B
12335271,H,H04,H04L
12358508,B,B60,B60W
12366626,Y,Y02,Y02D
12400485,G,G06,G06V
8165412,H,H04,H04N
10100316,C,C12,C12N
3958519,F,F27,F27D
4067091,A,A01,A01N
4145110,G,G02,G02B
4169033,C,C25,C25C
4238653,H,H01,H01H
4300758,G,G03,G03G
4324379,A,A47,A47B
4341234,Y,Y10,Y10T
4356352,H,H04,H04M
4379419,Y,Y10,Y10T
4452481,Y,Y10,Y10S
4470815,A,A61,A61C
4472333,H,H01,H01L
4475860,G,G21,G21F
4502079,H,H04,H04N
4502456,B,B24,B24B
4517077,C,C10,C10G
4521677,G,G09,G09G
4643980,Y,Y10,Y10T
4660452,Y,Y10,Y10T
4683190,Y,Y10,Y10S
4730128,H,H10,H10F
4808602,C,C07,C07D
4823403,H,H04,H04B
4854059,D,D06,D06F
4899299,Y,Y10,Y10S
4912947,D,D06,D06F
4950337,H,H01,H01F
4955377,A,A61,A61B
4974224,H,H04,H04L
4993105,A,A47,A47L
5019501,C,C12,C12N
5019022,F,F16,F16D
5044664,B,B60,B60R
5070458,G,G06,G06F
5075386,Y,Y10,Y10T
5113899,Y,Y10,Y10T
5146365,H,H04,H04N
5146981,Y,Y10,Y10T
5209543,B,B60,B60J
5306322,Y,Y10,Y10S
5346076,G,G09,G09F
5356776,Y,Y10,Y10T
5362744,C,C07,C07D
5368036,A,A61,A61B
5383046,H,H04,H04B
5394343,G,G01,G01L
5399150,A,A61,A61F
5446058,C,C07,C07D
5487486,F,F25,F25D
5515303,Y,Y10,Y10S
5536197,B,B24,B24B
5571079,A,A61,A61F
5624862,H,H10,H10B
5682238,G,G01,G01R
5716888,Y,Y10,Y10S
5768010,G,G02,G02F
5803825,A,A63,A63B
5843868,C,C07,C07D
5856117,Y,Y10,Y10S
6013435,C,C12,C12Q
6026820,A,A24,A24D
6033973,Y,Y10,Y10S
6038693,G,G06,G06F
6041441,A,A41,A41D
6064871,H,H03,H03M
6185777,B,B08,B08B
6239618,H,H03,H03K
6246156,H,H10,H10N
6264952,Y,Y10,Y10S
6291236,C,C12,C12N
6343243,G,G05,G05B
6440234,Y,Y10,Y10S
6442691,H,H04,H04L
6443176,Y,Y10,Y10T
6448791,G,G01,G01N
6457684,G,G09,G09F
6516331,G,G06,G06F
6536445,A,A45,A45D
6565877,A,A61,A61K
6600448,H,H01,H01Q
6601257,Y,Y10,Y10S
6621777,G,G11,G11B
6766370,G,G06,G06Q
6893758,Y,Y02,Y02E
6896775,H,H01,H01J
6939771,H,H10,H10D
6945445,B,B23,B23K
6993953,Y,Y10,Y10T
7025059,A,A61,A61M
7024943,H,H05,H05K
7029485,A,A61,A61F
7067735,Y,Y02,Y02E
7095622,H,H05,H05K
7141381,G,G01,G01N
7161118,H,H05,H05B
7169281,Y,Y02,Y02T
7179006,C,C09,C09D
7235304,H,H10,H10F
7260068,Y,Y02,Y02D
7273869,C,C07,C07D
7277536,H,H04,H04M
7280571,H,H01,H01S
7286628,G,G21,G21K
7300013,B,B60,B60R
7310464,H,H04,H04B
7334255,H,H04,H04L
7352061,H,H05,H05K
7470981,H,H01,H01L
7508418,H,H04,H04N
7510861,Y,Y02,Y02E
7634354,G,G09,G09B
7637851,A,A63,A63B
7665877,G,G02,G02B
7675864,H,H04,H04L
7724107,H,H03,H03H
7748512,Y,Y10,Y10T
7767329,Y,Y02,Y02E
7792356,H,H04,H04N
7795035,G,G01,G01N
7877291,Y,Y04,Y04S
7890265,G,G06,G06Q
7968510,Y,Y10,Y10T
8015173,Y,Y10,Y10S
8029298,H,H01,H01R
8041001,G,G16,G16Z
8056277,F,F41,F41C
8081072,G,G06,G06Q
8280922,H,H04,H04M
8290794,G,G06,G06Q
8352965,G,G06,G06F
8359775,G,G09,G09F
8403061,Y,Y10,Y10T
8434854,B,B41,B41J
8469548,F,F21,F21L
8493206,H,H04,H04W
8562032,Y,Y10,Y10T
8584842,Y,Y10,Y10T
8595210,G,G06,G06F
8627796,F,F01,F01L
8641922,C,C10,C10L
8738008,H,H04,H04W
8792113,H,H04,H04L
8808373,A,A61,A61B
8808842,Y,Y10,Y10T
8821613,Y,Y02,Y02P
8827131,B,B25,B25C
8834156,A,A61,A61C
8902025,H,H01,H01P
8930804,G,G06,G06F
8994872,H,H04,H04N
9056086,A,A61,A61Q
9076448,Y,Y10,Y10S
9079892,Y,Y02,Y02P
9122407,G,G06,G06F
9125504,H,H05,H05B
9144982,B,B41,B41J
9228334,F,F15,F15B
9247155,H,H04,H04N
9251441,G,G06,G06K
9248417,Y,Y02,Y02A
9258860,H,H05,H05B
9254909,Y,Y02,Y02T
9277193,H,H04,H04H
9275420,G,G06,G06F
9285949,G,G06,G06F
9298640,G,G06,G06F
9391956,H,H04,H04L
9402166,H,H04,H04W
9403878,Y,Y02,Y02P
9434950,C,C12,C12N
9483329,G,G06,G06F
9502036,G,G10,G10L
9508320,G,G09,G09G
9546639,Y,Y02,Y02E
9562245,Y,Y02,Y02P
9617713,F,F15,F15B
9626115,G,G06,G06F
9694871,F,F16,F16F
9722370,Y,Y10,Y10S
9723722,H,H05,H05K
9722130,Y,Y02,Y02P
9761565,H,H01,H01L
9792229,G,G06,G06F
9853633,H,H03,H03L
9912592,H,H04,H04L
9937671,Y,Y02,Y02T
9942127,H,H04,H04W
9999094,Y,Y02,Y02D
10001515,G,G01,G01R
10033480,H,H04,H04L
10028941,A,A61,A61P
10035770,C,C07,C07D
10055090,G,G09,G09G
10093259,B,B60,B60R
10114025,G,G01,G01N
10118442,B,B60,B60B
10139104,F,F24,F24H
10237545,H,H04,H04N
10243107,H,H10,H10H
10276265,G,G16,G16H
10333493,H,H03,H03H
10348850,H,H04,H04L
10350626,Y,Y02,Y02P
10362070,H,H04,H04L
10372993,H,H04,H04N
10396342,Y,Y02,Y02E
10408018,E,E21,E21B
3942982,G,G03,G03F
4007704,B,B05,B05C
4054307,Y,Y10,Y10T
4061767,C,C07,C07C
4071817,H,H01,H01M
4103706,Y,Y10,Y10T
4131119,A,A24,A24F
4179839,A,A01,A01M
4208952,F,F16,F16J
4212940,C,C12,C12P
4263666,G,G04,G04G
4424567,G,G06,G06F
4437146,Y,Y02,Y02P
4581619,B,B41,B41J
4584257,G,G03,G03C
4744374,A,A61,A61L
4939102,H,H01,H01L
5007963,C,C01,C01P
5061990,H,H01,H01L
5200611,G,G06,G06K
5200322,Y,Y10,Y10T
5424102,G,G11,G11B
5680456,G,G07,G07B
5707526,B,B32,B32B
5741086,E,E02,E02B
5741585,C,C08,C08G
5742698,G,G06,G06T
5824551,C,C07,C07K
5866248,C,C08,C08J
5974591,A,A41,A41F
5977032,C,C09,C09K
6038139,H,H05,H05K
6073042,A,A61,A61B
6108936,D,D21,D21F
6196414,B,B21,B21J
6218511,C,C12,C12N
6362481,G,G01,G01N
6532256,H,H04,H04L
6677763,G,G01,G01R
6699977,A,A23,A23V
6701839,B,B41,B41N
6705906,F,F02,F02M
6715666,B,B23,B23K
6734119,H,H01,H01L
6824621,H,H01,H01L
6860404,B,B05,B05B
6898824,A,A63,A63C
6960276,F,F16,F16L
7198853,H,H01,H01L
7206439,G,G06,G06V
7241592,C,C07,C07K
7465028,B,B41,B41J
7472889,B,B66,B66F
7618821,G,G01,G01N
7645331,C,C23,C23F
7725028,H,H04,H04J
7757887,B,B65,B65D
7966059,A,A61,A61B
8048585,Y,Y02,Y02E
8077682,H,H04,H04L
8135920,G,G11,G11C
8203512,G,G02,G02B
8214295,G,G06,G06Q
8217269,H,H05,H05K
8283025,C,C09,C09D
8303419,G,G07,G07F
8422004,G,G01,G01J
8431468,H,H01,H01L
8481041,A,A61,A61P
8492430,A,A61,A61P
8508485,G,G09,G09G
8579539,F,F16,F16B
8689252,H,H04,H04N
8725801,G,G16,G16H
8754633,G,G01,G01J
8755070,G,G06,G06K
8797934,H,H04,H04W
9039275,G,G01,G01R
9061726,B,B62,B62M
9072088,H,H04,H04L
9068335,E,E03,E03B
9079730,B,B07,B07C
9095917,B,B23,B23G
9116732,G,G06,G06F
9220714,A,A61,A61P
9245909,G,G11,G11C
9277686,B,B25,B25J
9280865,G,G07,G07F
9313397,G,G06,G06V
9315462,A,A61,A61K
9336417,G,G01,G01C
9399402,B,B60,B60L
9428714,C,C11,C11D
9492974,B,B29,B29L
9497004,H,H04,H04L
9529279,G,G03,G03F
9544074,H,H04,H04N
9551229,F,F01,F01D
9613896,H,H10,H10B
9614563,H,H03,H03D
9649265,A,A61,A61K
9777126,C,C08,C08J
9937464,B,B01,B01D
10131251,B,B60,B60N
10137037,A,A61,A61F
10160746,A,A61,A61P
10166446,B,B60,B60N
10206326,A,A01,A01C
10216755,G,G06,G06F
10247072,Y,Y02,Y02T
10251549,A,A61,A61B
10268997,G,G06,G06Q
10308172,B,B60,B60Q
10338862,G,G06,G06F
10369172,A,A61,A61P
10403115,G,G08,G08B
10399301,E,E04,E04F
10429406,B,B81,B81B
10464298,B,B42,B42D
10551094,Y,Y02,Y02B
