patent_id,section,cpc_class,cpc_subclass
4413355,H,H01,H01J
4488601,E,E21,E21B
4515156,A,A62,A62B
4523193,G,G08,G08C
4605989,Y,Y02,Y02E
4606335,A,A61,A61B
4617273,Y,Y10,Y10S
4647794,H,H03,H03K
4877066,G,G05,G05D
4944045,E,E03,E03D
4996409,B,B23,B23K
5037903,C,C08,C08L
5107192,H,H02,H02K
5139536,C,C09,C09K
5158226,H,H01,H01L
5173933,H,H04,H04B
5196000,A,A61,A61F
5218706,G,G06,G06F
5256048,B,B29,B29C
5257263,H,H03,H03M
5259951,Y,Y10,Y10T
5262872,B,B41,B41J
5264858,H,H01,H01Q
5274287,H,H02,H02P
5348835,G,G03,G03F
5356944,C,C08,C08J
5375249,G,G11,G11B
5413998,C,C07,C07D
5467747,F,F02,F02B
5475329,H,H03,H03K
5529871,G,G03,G03G
5545104,Y,Y10,Y10T
5596505,G,G06,G06F
5612784,G,G01,G01J
5669213,Y,Y10,Y10S
5733629,Y,Y10,Y10T
5738102,Y,Y10,Y10S
5809251,H,H04,H04L
5819279,Y,Y10,Y10S
5839773,B,B60,B60N
5873548,Y,Y02,Y02T
5944449,F,F16,F16L
5951883,B,B23,B23H
5954627,A,A61,A61G
5982284,Y,Y10,Y10T
6062852,H,H01,H01L
6084224,B,B23,B23K
6091925,G,G03,G03G
6127524,C,C07,C07K
6141064,H,H04,H04N
6178144,G,G11,G11B
6286696,B,B66,B66C
6291793,H,H05,H05H
6427247,A,A63,A63B
6474440,H,H04,H04R
6479180,Y,Y02,Y02E
6500336,B,B29,B29C
6561650,G,G03,G03B
6629281,G,G11,G11C
6647374,G,G06,G06Q
6687858,G,G06,G06F
6747111,C,C08,C08F
6765570,G,G06,G06T
6775976,F,F16,F16H
6825524,H,H10,H10B
6869637,H,H05,H05K
6967322,G,G01,G01N
6983905,A,A01,A01K
7112453,Y,Y10,Y10T
7160292,A,A61,A61B
7163527,A,A61,A61H
7230097,C,C07,C07C
7259319,G,G10,G10F
7267890,Y,Y10,Y10T
7269906,B,B43,B43L
7278097,G,G06,G06F
7323604,C,C07,C07B
7399850,C,C07,C07K
7467589,B,B62,B62J
7490852,H,H01,H01H
7658608,F,F23,F23D
7669342,G,G01,G01C
7740979,Y,Y02,Y02E
7744284,F,F16,F16C
7777842,G,G02,G02F
7840210,H,H04,H04M
7842014,A,A61,A61B
7926372,Y,Y10,Y10T
7930180,G,G10,G10L
7982008,A,A61,A61K
7989905,B,B81,B81B
8032815,H,H03,H03M
8042767,Y,Y10,Y10T
8059845,H,H04,H04R
8093489,Y,Y02,Y02P
8151005,H,H04,H04L
8260519,B,B62,B62D
8278903,Y,Y02,Y02B
8291091,H,H04,H04L
8292238,F,F02,F02C
8336150,A,A61,A61B
8401719,F,F05,F05D
8410893,Y,Y10,Y10T
8423224,G,G06,G06N
8432820,H,H04,H04L
8451327,H,H04,H04N
8486645,Y,Y10,Y10T
8501906,C,C07,C07K
8602448,B,B60,B60R
8620874,H,H04,H04L
8631749,A,A01,A01C
8635310,H,H04,H04L
8651251,F,F16,F16F
8659959,G,G11,G11C
8719783,G,G06,G06F
8734984,Y,Y10,Y10T
8759721,G,G05,G05D
8761506,G,G06,G06V
8763361,F,F02,F02K
8787758,H,H04,H04Q
8801711,A,A61,A61B
8818259,H,H04,H04B
8859606,C,C07,C07D
8932503,H,H01,H01R
8948010,H,H04,H04L
8981814,Y,Y10,Y10T
9027798,B,B65,B65D
9028132,B,B65,B65D
9040427,H,H01,H01L
9055342,H,H04,H04N
9091809,G,G02,G02B
9104878,G,G06,G06F
9109424,Y,Y10,Y10T
9142340,H,H01,H01C
9160980,H,H04,H04N
9164895,G,G06,G06F
9164559,H,H10,H10H
9173541,A,A47,A47L
9185170,H,H04,H04L
9289727,B,B01,B01D
9310110,F,F25,F25D
9328047,Y,Y02,Y02P
9333000,A,A61,A61B
9347903,G,G01,G01N
9365209,Y,Y02,Y02T
9375580,A,A61,A61N
9392876,B,B68,B68G
9448691,G,G06,G06F
9501803,Y,Y04,Y04S
9519411,G,G06,G06F
9528500,Y,Y02,Y02E
9527767,Y,Y10,Y10T
9570989,Y,Y02,Y02B
9676386,G,G01,G01C
9764059,C,C09,C09J
9771138,B,B63,B63H
9803729,F,F16,F16D
9847254,H,H01,H01L
9995088,G,G01,G01H
10010931,B,B22,B22C
10050013,H,H01,H01L
10062904,Y,Y02,Y02E
10074060,G,G07,G07C
10090050,H,H10,H10N
10135728,H,H04,H04L
10150442,F,F16,F16B
10163393,G,G09,G09G
10204869,H,H01,H01L
10261942,G,G06,G06F
10266467,Y,Y02,Y02P
10284696,H,H05,H05K
10313865,H,H04,H04W
10413111,A,A47,A47J
10456301,A,A61,A61F
10526641,C,C12,C12Q
10546477,G,G08,G08B
10587601,H,H04,H04L
10592230,G,G06,G06N
10605538,H,H01,H01L
10667984,A,A61,A61H
10680235,Y,Y02,Y02E
10750685,G,G05,G05B
10778269,H,H04,H04B
10779329,Y,Y02,Y02D
10914424,H,H02,H02B
11026353,H,H05,H05K
11028782,F,F05,F05D
11084886,D,D21,D21H
11094702,H,H10,H10B
11129837,A,A61,A61K
11233294,Y,Y02,Y02E
11238818,H,H10,H10D
11283973,H,H04,H04N
11279642,C,C12,C12N
11335799,H,H10,H10D
11386809,G,G16,G16H
11441654,F,F16,F16F
11459218,B,B66,B66C
11458013,A,A61,A61F
11465534,Y,Y02,Y02T
11486859,H,H03,H03H
11547801,A,A61,A61M
11594498,H,H01,H01L
11644355,G,G01,G01F
11676075,G,G06,G06F
11736319,H,H04,H04L
11754339,G,G01,G01N
11757356,H,H02,H02M
11779582,A,A61,A61K
11792960,H,H05,H05K
11789615,Y,Y02,Y02D
11801531,B,B07,B07B
11985093,H,H04,H04W
12125094,G,G06,G06Q
12185390,H,H04,H04W
12192432,H,H04,H04N
12237862,H,H04,H04W
12245138,Y,Y02,Y02D
12239283,G,G06,G06T
12248559,G,G06,G06F
12281988,G,G02,G02B
12350035,G,G06,G06F
12425376,H,H04,H04L
8075364,A,A63,A63H
11470079,H,H04,H04L
3971084,Y,Y02,Y02T
3976972,H,H04,H04L
4002096,G,G10,G10D
4004833,Y,Y10,Y10T
4075401,Y,Y02,Y02E
4092320,C,C07,C07D
4095012,Y,Y10,Y10T
4132099,B,B21,B21D
4245153,Y,Y02,Y02E
4250062,C,C11,C11B
4275974,E,E02,E02B
4363498,A,A63,A63C
4394733,G,G06,G06F
4412374,Y,Y10,Y10T
4415338,Y,Y10,Y10S
4490067,E,E01,E01C
4499367,A,A45,A45D
4525821,G,G11,G11B
4536459,Y,Y02,Y02P
4561056,Y,Y02,Y02T
4578133,Y,Y10,Y10T
4598291,G,G06,G06F
4612335,C,C08,C08G
4670854,G,G06,G06E
4746475,C,C08,C08J
4780740,G,G03,G03G
4808030,E,E21,E21D
4861666,Y,Y10,Y10T
4904026,B,B60,B60T
5013593,Y,Y10,Y10S
5026206,E,E01,E01C
5149371,B,B62,B62D
5168768,Y,Y10,Y10T
5200908,Y,Y10,Y10S
5217053,H,H01,H01L
5225994,Y,Y04,Y04S
5238342,F,F16,F16B
5254726,C,C07,C07D
5309094,G,G01,G01P
5327058,G,G05,G05B
5362673,Y,Y10,Y10S
5395674,Y,Y10,Y10S
5398175,E,E05,E05B
5404146,H,H01,H01Q
5435710,B,B29,B29C
5555240,G,G02,G02F
5609393,B,B60,B60N
5620266,B,B41,B41J
5639760,C,C07,C07D
5662613,A,A61,A61B
5668552,H,H03,H03M
5668220,C,C08,C08L
5708612,G,G11,G11C
5741132,A,A61,A61B
5762358,A,A63,A63C
5789105,Y,Y02,Y02E
5912529,H,H04,H04N
6006179,G,G10,G10L
6036039,G,G03,G03G
6054994,G,G09,G09G
6059964,E,E03,E03F
6061871,A,A45,A45C
6097357,H,H01,H01J
6134345,H,H04,H04N
6169056,A,A01,A01N
6170385,B,B60,B60T
6211630,F,F16,F16K
6232892,H,H04,H04M
6254316,Y,Y10,Y10T
6285543,H,H01,H01G
6365925,H,H10,H10D
6425251,Y,Y02,Y02E
6428284,F,F25,F25B
6430812,Y,Y10,Y10T
6439985,B,B24,B24D
6455965,H,H02,H02K
6461815,C,C12,C12Q
6485500,A,A61,A61M
6489404,C,C08,C08L
6526162,G,G06,G06T
6583004,H,H10,H10B
6586659,A,A01,A01H
6597065,H,H01,H01L
6674623,H,H02,H02H
6687528,G,G01,G01R
6781437,G,G11,G11C
6817835,F,F24,F24F
6825338,C,C07,C07H
6845752,F,F02,F02D
6952477,H,H04,H04L
6979038,Y,Y10,Y10S
7013467,H,H04,H04L
7066145,Y,Y02,Y02T
7082318,H,H04,H04M
7122920,H,H02,H02K
7151167,G,G01,G01N
7214712,C,C40,C40B
7268845,G,G02,G02F
7277178,G,G01,G01N
7277001,H,H01,H01F
7315673,G,G02,G02B
7336839,H,H04,H04N
7353284,H,H04,H04L
7356399,F,F16,F16H
7482686,H,H01,H01L
7493235,G,G06,G06Q
7514811,G,G07,G07C
7519488,G,G06,G06F
7532204,G,G06,G06F
7549647,F,F16,F16C
7581377,F,F05,F05B
7600028,Y,Y10,Y10S
7638262,Y,Y10,Y10S
7643485,H,H04,H04L
7654295,Y,Y10,Y10T
7684910,Y,Y10,Y10S
7683262,H,H01,H01B
7693754,G,G06,G06Q
7692936,H,H05,H05B
7690264,G,G01,G01N
7725675,G,G06,G06F
7731305,B,B60,B60T
7746398,H,H04,H04N
7768869,G,G01,G01V
7772236,C,C07,C07D
7772366,C,C07,C07D
7798871,H,H01,H01R
7824617,Y,Y10,Y10S
7902374,Y,Y10,Y10S
7927745,Y,Y02,Y02E
7952755,G,G06,G06K
7954971,Y,Y10,Y10T
7907133,G,G09,G09F
7051629,B,B25,B25B
10450346,G,G16,G16C
10588701,A,A61,A61N
10614656,A,A63,A63F
10655419,E,E21,E21B
10738305,A,A61,A61K
10744806,B,B41,B41J
10843069,A,A63,A63F
10901312,G,G02,G02B
10925212,A,A01,A01D
10983301,G,G02,G02B
11090971,F,F21,F21V
11104575,C,C01,C01B
11350802,A,A47,A47K
11386738,G,G07,G07F
11551753,H,H10,H10N
11560184,B,B60,B60R
11655477,C,C12,C12N
11669341,G,G06,G06Q
11784041,C,C23,C23C
11817185,G,G16,G16H
11855810,H,H04,H04B
11909431,A,A61,A61B
11917091,G,G06,G06F
11932287,B,B61,B61C
11975004,A,A61,A61K
12019235,B,B81,B81B
12041821,H,H10,H10D
12075419,H,H04,H04W
12119269,H,H10,H10B
12156035,G,G01,G01S
12175350,G,G06,G06F
12198829,H,H01,H01B
12327831,Y,Y02,Y02P
12338039,B,B65,B65D
6718613,F,F16,F16B
3949903,B,B67,B67D
3961159,G,G06,G06F
3962896,B,B21,B21D
4023529,A,A01,A01K
4088261,B,B65,B65D
4141951,B,B29,B29C
4152195,H,H01,H01L
4210813,H,H05,H05H
4294954,C,C08,C08G
4378264,H,H05,H05K
4380615,B,B01,B01D
4422214,E,E05,E05Y
4488601,C,C09,C09K
4523193,G,G08,G08B
4595586,A,A61,A61Q
4605989,H,H01,H01G
4655149,D,D05,D05D
4665144,C,C08,C08F
4680212,D,D06,D06M
4693002,H,H01,H01R
4787056,G,G06,G06F
4890636,F,F16,F16H
4912523,G,G02,G02B
4955488,A,A47,A47F
4993299,B,B28,B28D
5178187,F,F16,F16K
5194314,E,E04,E04C
5231877,G,G01,G01P
5256048,B,B29,B29L
5274560,B,B60,B60R
5285785,A,A61,A61B
5443875,G,G09,G09F
5475105,A,A61,A61P
5476421,E,E21,E21B
5528870,F,F16,F16B
5633212,C,C30,C30B
5689099,G,G01,G01P
5695277,F,F21,F21V
5803686,Y,Y02,Y02E
5809251,G,G06,G06F
5819279,G,G06,G06F
5956946,Y,Y02,Y02T
5972614,C,C12,C12Q
5982284,H,H01,H01L
6030902,H,H01,H01J
6186303,B,B65,B65G
6210660,A,A61,A61Q
6214297,A,A23,A23B
6232258,B,B01,B01J
6323512,H,H01,H01L
6330156,G,G06,G06F
6396734,G,G01,G01R
6402403,B,B41,B41J
6439439,A,A61,A61B
6652295,H,H04,H04Q
6656718,C,C07,C07K
6687858,G,G01,G01R
6821855,H,H01,H01L
6835499,Y,Y02,Y02P
6851984,H,H01,H01R
6873839,H,H04,H04W
6942409,B,B08,B08B
7043196,H,H04,H04L
7057376,B,B60,B60R
7072114,G,G02,G02B
7112453,Y,Y10,Y10S
7251897,B,B23,B23D
7267890,Y,Y10,Y10S
7294207,C,C23,C23C
7323604,C,C07,C07C
7446066,C,C04,C04B
7702423,G,G05,G05D
7740979,H,H01,H01M
7783055,G,G10,G10K
7811273,A,A61,A61F
7816486,C,C08,C08L
7926372,H,H04,H04M
7984790,A,A47,A47C
8032815,G,G06,G06F
8042767,Y,Y02,Y02T
8189397,G,G11,G11C
8197761,A,A61,A61L
8206684,A,A61,A61M
8278903,H,H02,H02M
8292238,F,F01,F01D
8301777,H,H04,H04L
8400011,F,F21,F21V
8432820,H,H04,H04W
8486645,G,G01,G01N
8496951,A,A61,A61Q
8502434,H,H10,H10N
8501906,A,A61,A61P
8651251,B,B60,B60G
8659959,G,G06,G06F
8712874,G,G07,G07G
8743422,G,G06,G06K
8761506,G,G06,G06T
8825571,G,G06,G06N
8846242,Y,Y02,Y02E
8860312,H,H05,H05B
8932503,B,B29,B29C
8935344,G,G06,G06F
9054581,H,H02,H02M
9063085,G,G06,G06F
9109424,E,E21,E21B
9162208,B,B01,B01J
9164559,H,H10,H10F
9483089,G,G06,G06F
9527767,C,C03,C03B
9570989,H,H02,H02M
9602135,H,H03,H03M
9645154,A,A61,A61P
9720637,G,G06,G06F
9765010,C,C10,C10N
9780232,H,H10,H10B
9847254,G,G06,G06V
10010931,B,B22,B22D
10172974,A,A61,A61L
10199652,H,H01,H01M
10197514,G,G01,G01T
10278963,A,A61,A61K
10323099,A,A61,A61P
10353423,G,G05,G05G
10415162,D,D10,D10B
10443247,E,E04,E04F
10461896,H,H04,H04B
10503306,G,G01,G01L
10546477,G,G08,G08C
10579263,G,G06,G06F
10587601,G,G06,G06F
10595465,A,A01,A01F
10605538,G,G06,G06F
10630114,H,H04,H04B
10631612,A,A45,A45D
10680235,H,H01,H01M
10711123,C,C08,C08K
10778269,H,H03,H03G
10779329,H,H04,H04W
10790096,Y,Y02,Y02E
10833591,H,H05,H05K
10845471,G,G01,G01C
10951003,H,H01,H01S
10994373,A,A61,A61F
11001830,C,C07,C07K
11183634,H,H10,H10N
11279642,C,C02,C02F
11299937,H,H01,H01B
11374582,G,G06,G06F
11417753,H,H10,H10B
11433520,E,E21,E21C
11441654,F,F16,F16H
11454951,B,B33,B33Y
11550576,G,G06,G06F
11712566,A,A61,A61B
11754339,F,F26,F26B
11799136,H,H01,H01M
11825646,H,H01,H01L
11894044,G,G11,G11C
11973077,H,H01,H01L
11985093,H,H04,H04L
12192432,B,B42,B42D
12214491,F,F17,F17C
12237862,H,H04,H04L
12345712,G,G06,G06F
12395020,A,A47,A47L
3976972,H,H03,H03M
3990325,F,F16,F16F
3993010,B,B21,B21D
4095012,Y,Y10,Y10S
4098262,Y,Y02,Y02E
4250062,C,C07,C07B
4311736,C,C09,C09D
4450558,H,H04,H04L
4508683,C,C10,C10G
4578133,B,B65,B65H
4582092,B,B29,B29C
4704397,C,C07,C07C
4765035,A,A44,A44B
4797485,A,A61,A61P
4859405,G,G21,G21C
4861666,Y,Y10,Y10S
5013593,Y,Y10,Y10T
5081066,H,H10,H10D
5168768,B,B62,B62D
5246625,C,C07,C07C
5395674,Y,Y10,Y10T
5401443,B,B01,B01J
5442046,C,C07,C07H
5501566,B,B61,B61D
5511424,B,B06,B06B
5524483,G,G01,G01N
5536540,F,F16,F16B
5537507,B,B01,B01D
5547568,B,B01,B01D
5554539,G,G01,G01N
5579201,G,G06,G06F
5616307,C,C05,C05C
5639760,A,A61,A61P
5668220,C,C08,C08F
5807638,E,E02,E02D
5858904,C,C08,C08F
5877314,C,C07,C07D
5952091,D,D21,D21H
6004618,C,C23,C23C
6069120,C,C11,C11D
6097357,G,G09,G09G
6103095,C,C25,C25F
6224663,C,C11,C11D
6232892,H,H03,H03M
6286823,B,B25,B25B
6356274,B,B44,B44D
6428284,F,F04,F04C
6464191,B,B65,B65D
6526162,A,A61,A61B
6530865,B,B32,B32B
6687528,A,A61,A61B
6702044,C,C09,C09K
6817835,F,F04,F04D
6921509,B,B32,B32B
7013467,G,G06,G06F
7066145,F,F02,F02D
7122920,G,G02,G02B
7204387,A,A47,A47J
7290440,A,A61,A61B
7319548,G,G07,G07D
7349257,G,G11,G11C
7519594,G,G06,G06F
7549647,B,B21,B21B
7600028,H,H04,H04L
7638262,G,G03,G03F
7654295,B,B60,B60C
7690264,B,B64,B64F
7699404,B,B60,B60B
7771077,F,F21,F21L
7824617,Y,Y10,Y10T
7834255,A,A01,A01H
7877958,E,E06,E06B
7916700,H,H04,H04L
7927745,H,H01,H01M
7968566,A,A61,A61P
11562491,G,G06,G06N
10477097,G,G06,G06N
10517327,A,A24,A24F
10558689,G,G06,G06F
10570304,C,C04,C04B
10606077,G,G06,G06F
10656705,G,G02,G02B
10699500,G,G07,G07C
10793843,A,A61,A61K
10925212,A,A01,A01G
10986259,H,H04,H04N
11032631,G,G10,G10K
11059723,C,C08,C08L
11073699,G,G02,G02B
11118731,F,F04,F04C
11531539,G,G06,G06Q
11551753,H,H10,H10D
11563244,H,H02,H02J
11802001,B,B65,B65G
11862960,H,H01,H01L
11894926,H,H03,H03M
11980051,H,H10,H10K
12011838,B,B25,B25J
12022666,H,H01,H01L
12041938,A,A01,A01P
12059725,B,B33,B33Y
12195331,G,G21,G21F
4210813,H,H01,H01J
4227343,A,A01,A01G
4256955,G,G06,G06K
4309047,B,B41,B41M
4388763,B,B64,B64C
4398945,C,C22,C22B
4922621,B,B25,B25H
5072696,F,F22,F22B
5139536,B,B24,B24D
5173933,H,H04,H04M
5197364,B,B26,B26D
5256048,A,A46,A46D
5277975,C,C04,C04B
5283116,C,C25,C25D
5741693,C,C12,C12Y
5758724,F,F25,F25B
6226382,G,G06,G06Q
6402403,B,B33,B33Y
6436840,H,H01,H01L
6458942,A,A61,A61K
6711341,C,C03,C03B
6775976,B,B60,B60K
6954056,H,H02,H02J
7037941,C,C07,C07D
7118817,H,H01,H01M
7545807,H,H04,H04B
7702423,F,F04,F04B
8007927,C,C07,C07F
8042767,B,B64,B64C
8073118,G,G06,G06Q
8292090,B,B29,B29K
8414959,A,A61,A61M
8423224,F,F41,F41G
8445872,A,A61,A61N
8451327,A,A61,A61B
8712874,G,G06,G06Q
8734984,Y,Y02,Y02E
8769805,G,G06,G06K
8980571,A,A61,A61P
9010650,G,G06,G06Q
9040427,C,C23,C23F
9077896,G,G06,G06F
9160980,G,G01,G01C
9164559,H,H02,H02J
9290380,B,B81,B81C
9328047,C,C07,C07C
9385108,F,F21,F21Y
9613034,G,G06,G06F
9618945,G,G01,G01K
9647433,H,H02,H02G
9676386,B,B60,B60W
9765010,C,C10,C10G
9879322,C,C12,C12Q
9995088,E,E21,E21B
9999662,A,A61,A61P
10084566,H,H04,H04W
10090050,H,H01,H01L
10233449,A,A61,A61K
10378021,C,C12,C12Y
10503306,A,A61,A61B
10622689,C,C09,C09K
10682652,B,B22,B22F
10776484,G,G06,G06F
10779329,H,H04,H04L
10799897,A,A01,A01C
10833591,H,H02,H02M
10914424,H,H01,H01H
11216020,F,F24,F24F
11231131,F,F16,F16J
11374582,G,G01,G01R
11390291,B,B60,B60K
11491080,A,A61,A61H
11569880,H,H04,H04L
11616535,H,H04,H04L
11734670,G,G06,G06Q
11754339,D,D06,D06F
11847557,G,G06,G06F
12239283,A,A47,A47L
12240984,C,C07,C07C
4095012,B,B32,B32B
4098262,F,F24,F24D
4341837,C,C08,C08J
4363222,F,F25,F25B
4430068,B,B31,B31B
4561056,F,F02,F02D
4582092,A,A61,A61B
4782671,F,F17,F17C
4859405,B,B01,B01D
4861666,F,F41,F41H
5013593,G,G11,G11B
5094557,A,A46,A46B
5240621,F,F04,F04D
5328541,B,B29,B29K
5359023,C,C08,C08G
5456906,A,A61,A61Q
5536540,B,B60,B60R
5693318,A,A61,A61K
5867388,B,B65,B65G
6224663,C,C09,C09K
6286823,B,B23,B23Q
6357292,A,A62,A62C
6430812,B,B21,B21K
6455965,F,F16,F16C
6624295,A,A61,A61P
6674623,G,G06,G06F
7066145,F,F01,F01L
7411072,A,A61,A61P
7512454,G,G06,G06Q
7684910,G,G06,G06Q
7879062,A,A61,A61F
7916700,H,H04,H04W
10538651,B,B29,B29K
10606077,G,G06,G06T
10772595,A,A61,A61B
10860615,G,G06,G06Q
11239497,C,C07,C07D
11348134,G,G06,G06F
11551753,H,H01,H01L
11563244,H,H01,H01M
11850769,B,B01,B01F
11980051,H,H04,H04N
12041938,A,A01,A01N
12059725,B,B29,B29B
12195331,F,F16,F16L
12224610,A,A47,A47L
12355056,B,B32,B32B
4378264,B,B32,B32B
4398945,C,C21,C21B
5528870,E,E04,E04B
5741693,C,C12,C12N
5758724,F,F24,F24T
5763559,B,B32,B32B
5842514,F,F28,F28D
5900660,H,H01,H01L
5982284,G,G07,G07D
6567780,G,G11,G11B
7091299,A,A61,A61L
7094270,A,A47,A47L
8093489,H,H10,H10K
8734984,H,H01,H01M
9164559,G,G09,G09G
9328047,B,B01,B01J
9501803,G,G06,G06Q
9579709,B,B21,B21J
9765010,C,C10,C10M
10227672,B,B32,B32B
10378021,C,C12,C12N
10662223,A,A61,A61P
10687402,H,H02,H02M
10714672,B,B82,B82Y
10776484,G,G01,G01R
10942181,C,C07,C07K
11433520,B,B25,B25B
11569880,H,H04,H04W
11779582,A,A23,A23L
11792623,G,G07,G07C
12430975,B,B42,B42D
4098262,F,F24,F24S
4250062,C,C07,C07C
4341837,C,C08,C08F
4746475,B,B01,B01D
5240621,D,D21,D21F
5359023,C,C07,C07C
7000734,F,F04,F04B
7214712,A,A61,A61P
7319874,H,H04,H04Q
7353284,G,G06,G06F
7381440,B,B41,B41M
7397068,F,F21,F21L
7581377,F,F01,F01D
7771187,B,B29,B29K
7824617,B,B82,B82Y
10843267,B,B22,B22F
10966442,A,A23,A23V
11090971,B,B25,B25B
11118731,F,F01,F01P
11486315,B,B64,B64D
11501105,G,G01,G01C
11897033,B,B29,B29D
12126170,G,G06,G06N
12195331,B,B82,B82B
4378264,B,B29,B29C
4538307,E,E03,E03D
5741693,C,C11,C11D
6539615,B,B08,B08B
7112453,C,C40,C40B
8093489,B,B82,B82Y
10084566,H,H04,H04L
10378021,C,C07,C07K
10867023,G,G02,G02B
11465534,B,B60,B60L
11927057,G,G05,G05B
4311736,B,B05,B05D
5417790,B,B65,B65C
5527983,A,A62,A62D
6742819,E,E05,E05B
6786233,B,B66,B66C
10450346,C,C07,C07K
11348134,A,A61,A61B
11897033,B,B22,B22F
12059725,B,B23,B23P
12084762,B,B08,B08B
12195331,B,B82,B82Y
4378264,B,B29,B29L
5283116,B,B41,B41J
5956946,B,B01,B01D
7258472,B,B60,B60Q
9765010,A,A61,A61Q
10662223,A,A01,A01N
10711123,C,C04,C04B
12084146,B,B62,B62J
12345712,A,A61,A61K
4311736,A,A61,A61L
6224663,B,B82,B82Y
7112453,B,B01,B01D
6567780,G,G07,G07C
10711123,B,B32,B32B
6567780,G,G06,G06Q
11752416,G,G02,G02B
8024419,H,H04,H04H
8031134,G,G09,G09G
8066568,G,G07,G07F
8177912,C,C23,C23C
8180322,H,H04,H04W
8189928,H,H04,H04N
8201087,G,G06,G06F
8235154,Y,Y02,Y02T
8262131,B,B60,B60R
8301574,G,G06,G06Q
8321887,H,H04,H04N
8335629,F,F02,F02M
8375843,F,F16,F16F
8393703,H,H04,H04N
8409851,Y,Y02,Y02P
8421796,G,G06,G06Q
8549760,Y,Y10,Y10T
8565251,H,H04,H04L
8576718,H,H04,H04W
8608857,Y,Y10,Y10T
8620671,G,G10,G10L
8645610,G,G06,G06F
8675304,H,H02,H02K
8675127,H,H04,H04N
8720397,F,F02,F02B
8740559,F,F04,F04D
8769348,G,G06,G06F
8771776,A,A23,A23P
8779387,G,G01,G01N
8824036,G,G02,G02F
8937697,G,G02,G02B
8936891,G,G03,G03F
8991371,H,H01,H01F
9012366,Y,Y10,Y10T
9145520,Y,Y02,Y02P
9153137,G,G09,G09B
9180740,B,B60,B60C
9193159,B,B41,B41J
9260430,Y,Y02,Y02A
9279032,C,C08,C08L
9345104,Y,Y02,Y02B
9367917,G,G06,G06T
9394737,G,G07,G07C
9488653,G,G01,G01N
9509305,H,H03,H03K
9515800,H,H04,H04L
9592838,B,B62,B62K
9613440,G,G06,G06T
9632546,G,G06,G06F
9631185,C,C12,C12N
9644922,Y,Y10,Y10T
9642461,A,A47,A47B
9667312,H,H04,H04B
9703340,Y,Y04,Y04S
9710848,H,H04,H04W
9758794,C,C12,C12N
9758372,H,H01,H01L
9772516,G,G02,G02F
9786036,G,G06,G06F
9981750,Y,Y10,Y10T
9999005,Y,Y02,Y02D
10016307,Y,Y10,Y10T
10031209,G,G01,G01S
10054488,G,G01,G01J
10064504,F,F16,F16M
10074380,G,G10,G10L
10118566,H,H04,H04N
10120022,G,G01,G01R
10130128,D,D04,D04B
10142664,H,H04,H04N
10160911,Y,Y02,Y02E
10181673,H,H02,H02G
10194883,G,G16,G16H
10275818,G,G06,G06Q
10308962,C,C12,C12P
10328593,B,B26,B26D
10334468,H,H04,H04W
10352111,E,E21,E21B
10364527,Y,Y10,Y10T
10405209,H,H04,H04W
10435254,Y,Y10,Y10T
10445821,G,G06,G06Q
10477189,H,H04,H04N
10521317,H,H04,H04L
10567422,H,H04,H04W
10599522,H,H04,H04L
10611907,Y,Y10,Y10T
10619501,F,F16,F16J
10678626,G,G06,G06F
10681000,H,H04,H04L
10727560,H,H05,H05K
10737943,H,H01,H01L
10749980,H,H04,H04L
10832207,G,G16,G16H
10876856,G,G02,G02B
10881728,G,G01,G01N
10979992,H,H04,H04W
10988477,C,C07,C07D
10995713,F,F02,F02M
11010396,G,G06,G06F
11024542,H,H01,H01L
11108995,H,H04,H04N
11113867,G,G06,G06T
11129067,H,H04,H04B
11169132,G,G08,G08B
11174426,Y,Y02,Y02B
11263227,G,G08,G08G
11351957,B,B60,B60R
11477033,H,H04,H04L
11503578,H,H04,H04W
11507864,G,G06,G06N
11567394,H,H04,H04N
11608141,B,B63,B63B
11639314,C,C04,C04B
11660993,B,B60,B60N
11728734,Y,Y02,Y02B
11765196,H,H04,H04L
11776484,G,G09,G09G
11803778,G,G06,G06Q
11831054,Y,Y02,Y02E
11868722,G,G06,G06F
11944231,A,A47,A47J
11958908,Y,Y02,Y02A
12027954,H,H02,H02K
12077347,Y,Y02,Y02W
12150756,A,A61,A61B
12159389,G,G06,G06T
12188661,H,H01,H01L
12203632,F,F21,F21Y
12227828,Y,Y10,Y10T
12247857,G,G01,G01F
12267015,H,H05,H05B
12266464,H,H02,H02K
12304962,G,G01,G01N
12327326,G,G06,G06T
12334748,H,H02,H02J
12336443,H,H10,H10B
12364660,A,A61,A61K
12379996,G,G06,G06F
12393563,G,G06,G06F
12406746,G,G11,G11C
12426669,A,A43,A43B
8016008,B,B65,B65H
8066568,A,A63,A63F
8167586,F,F16,F16K
8180322,H,H04,H04L
8195825,G,G07,G07F
8273597,Y,Y02,Y02P
8277523,F,F23,F23K
8335629,F,F02,F02B
8442712,H,H01,H01L
8536308,A,A61,A61K
8576718,H,H04,H04L
8692812,B,B32,B32B
8770374,B,B65,B65G
8776581,A,A61,A61B
8848407,H,H02,H02M
8903729,G,G10,G10L
8939845,F,F16,F16D
9139187,B,B60,B60W
9189479,G,G06,G06F
9225804,H,H04,H04L
9345104,H,H05,H05B
9364675,H,H02,H02N
9428181,Y,Y02,Y02T
9495803,G,G10,G10K
