company_id,name
74460275-97cc-44a3-9cfb-ffb50e8a24c6,ExxonMobil Chemical Patents Inc.
3c4ac829-12bf-4815-a73c-04f6d51b5948,"Batesville Services, Inc."
c80989e1-5b54-443b-92e2-5da94452ce5b,Dow Corning Corporation
c01a186d-e3a6-406b-b436-e076116358f7,DENSO CORPORATION
a4ca8c34-393f-4b21-8c8d-2a56de3d2ff7,"NetApp, Inc."
3a859236-fdc6-4fa1-97ad-6a912f0f50db,"Bastion Technologies, Inc."
20e63ece-1b0a-4684-bee9-5d9685873cf9,Google LLC
46259d20-47e1-4159-8842-9d754e4feca9,"ARDENT SOUND, INC."
6d44406c-65cc-4795-97e4-550c2dc525af,Enco Die Casting Co.
db83f4f1-5b05-4777-a3b2-dd8b9cb2dd1b,"Kikkerland Design, Inc."
1428fbe0-dc77-4fd7-91ea-d5a862b6ae11,"Evoshield, LLC"
aa6d8c39-a7bb-415d-85cf-41f4fd53e0ff,"DOVETAIL GENOMICS, LLC"
b0164c0a-229a-4067-b0bf-8db7c1cf7b45,"CONTEMPORARY AMPEREX TECHNOLOGY CO., LIMITED"
55bb857f-324b-4b62-978b-ab1886c52ce7,Nippon Gakki Seizo Kabushiki Kaisha
adc17b1c-035c-4f38-805a-ed7642c33230,"Teledyne Industries, Inc."
3267f491-5d2d-4f31-9485-d47ccae88b24,Krupp Polysius AG
f7224586-4f13-4554-a3a0-f871bf2d1cb3,"Actisystems, Inc."
9f201c2c-d362-4f0d-87c5-230ee7572985,Larry A. Fisher
8778f818-a8a9-498d-ba80-b100aa390930,Advanced Sensor Technology Limited
77124515-6005-4cb9-866e-15ebf4ade80d,ST. JUDE MEDICAL AB
a5f51519-e2c3-4d33-84a6-9d4f060bb8b1,SPTS Technologies Limited
6ae7339f-37cf-4ea8-8a20-4fc6d636e9d7,VALE MILL (ROCHDALE) LIMITED
96d22c0c-3354-4490-84ba-035e3a405ba8,Novo Nordisk A/S
9244b827-1743-4177-ba25-c59e6b6c4adf,"Zike, LLC"
4cbe7866-6475-4b8d-b92c-2c88286e2e70,API HEALTHCARE CORPORATION
f42f155b-35db-40b8-8408-79709f2d02fa,INDIANA UNIVERSITY RESEARCH AND TECHNOLOGY CORPORATION
a072459d-75e1-4b50-9057-74903f489764,Vivint LLC
c7e3bbd2-018e-4c24-9599-a6435b0b5684,Ivoclar Vivadent AG
d1a5510c-76f8-454f-8248-3b3179cae0ec,"PAODONG (XIAMEN) TECHNOLOGY CO., LTD."
9869f621-59bc-474a-9b6e-2ea9a27e080b,"RICOH COMPANY, LTD."
a76e2985-8651-4345-b68a-6f050fcd2dcd,Washington University
84cdbaf1-4dc2-4a43-8251-74d1cccfca97,Peregrine Semiconductor Corporation
b0bab306-374c-4efb-87ad-be555ba9a191,"Submar, Inc."
b1bb2072-1785-4568-a9a9-6a1a01eef369,"Analog Devices, Inc."
15fd46b4-a656-44e3-ba5f-b8deef0d0cb0,"VARIAN MEDICAL SYSTEMS, INC."
b4b2d3b0-3f1b-4dcc-bdce-9965c223b57d,BALL CORPORATION
9ec0daca-4386-450e-86b7-38c82515474f,"SPRINT COMMUNICATIONS COMPANY, L.P."
d86f884d-e238-4668-be30-f5c2078c23bb,"Ballogy, Inc."
3c6b1357-c8fd-43ba-bfc3-cc3f44cee9b0,"Huawei Technologies Co., Ltd."
44bd57a9-3d7e-4900-817e-2b0c87b4b5a8,Didier-Werke AG
93de77f4-f003-4578-ba6a-c9d2053aa76e,Multifoil B.V.
9f45b3d0-ebb6-486a-8d7c-ce3111ff8191,BASF SE
a33b69e6-22a2-4b43-8c91-65ac87994d4d,"NISSAN NORTH AMERICA, INC."
b5623d2f-2637-4eb1-b9e5-3b00f91bc404,Renault S.A.S.
1e2a3542-78c9-4f2f-bcea-0495caa837c9,"Gemmy Electronic Co., Ltd."
c8b2fc9b-7d37-4fb4-aefe-e0faeee6410b,"ETERNAL MATERIALS CO., LTD."
21ef7111-f3ba-4b84-87ea-085636d0ba4e,Fairlane Mint Ltd.
b97481ef-924b-4476-8ee9-2891f59e452d,"Hortech, Inc."
d7a9b8ad-b8af-4ac4-815b-f8a2c0b4b1d8,Fujikura Ltd.
8a7fca01-61b3-408e-bfb5-f4d27ff6f5de,"FUJI XEROX CO., LTD."
1ee09f66-8bba-41b3-b313-5706f69cc200,VITESCO TECHNOLOGIES GMBH
e80f72f8-6399-4690-b53d-cc2d61acdce4,Chih-Ching Huang
117542c8-90cc-4cd4-b4fa-8eed3bb7c57b,FLSmidth A/S
61895dfb-da34-4ff2-9290-710c6b9562e8,"UCHICAGO ARGONNE, LLC"
2789e781-e17a-476c-9ae5-1e096bd71d7b,Karl Lautenschlager GmbH & Co. KG
bb5e219c-e400-45a0-ac01-61f84276f171,"Varco International, Inc."
5e1e92bb-e741-4008-8e7e-044b3c05e04b,Novo Industri A/S
f43749d4-8652-42b3-a00c-5a45d94bf353,Hitoshi Ohtsuka
13f455a9-6f1d-470e-814e-2e337bb16be6,GlaxoSmithKline Intellectual Property Development Limited
